"pu_hour","pu_month","pu_wday","avg_tip_amount"
7,"Aug","Wed",2.05949912413527
7,"Aug","Thu",2.1202513516077
7,"Aug","Fri",2.10926683387999
7,"Aug","Sat",2.04682537854799
7,"Sep","Sun",2.1365833115696
7,"Sep","Mon",2.20145411465839
7,"Sep","Tue",2.12321887073165
7,"Sep","Wed",2.1211898089172
7,"Sep","Thu",2.15870648092604
7,"Sep","Fri",2.1746565176931
7,"Sep","Sat",2.14558513658444
7,"Oct","Sun",2.2375686183034
7,"Oct","Mon",2.16990049482195
7,"Oct","Tue",2.09715730464755
7,"Oct","Wed",2.11513199037314
7,"Oct","Thu",2.12627869192478
7,"Oct","Fri",2.19946865478718
7,"Oct","Sat",2.13904428769658
7,"Nov","Sun",2.21458007507038
7,"Nov","Mon",2.16002411696729
7,"Nov","Tue",2.12593583863828
7,"Nov","Wed",2.10779638187687
7,"Nov","Thu",2.15140868567854
7,"Nov","Fri",2.12628373349212
7,"Nov","Sat",2.08861493758071
7,"Dec","Sun",2.35536177216926
7,"Dec","Mon",2.15286716922277
7,"Dec","Tue",2.04590859630033
7,"Dec","Wed",2.13525721889554
7,"Dec","Thu",2.15699739031956
7,"Dec","Fri",2.16983177323665
7,"Dec","Sat",2.14301095690285
8,"Jan","Sun",1.5673991586241
8,"Jan","Mon",1.82574981697684
8,"Jan","Tue",1.83177028339098
8,"Jan","Wed",1.81639690764043
8,"Jan","Thu",1.84288275162285
8,"Jan","Fri",1.77625508748739
8,"Jan","Sat",1.53319664069002
8,"Feb","Sun",1.86457237765509
8,"Feb","Mon",2.18519613577234
8,"Feb","Tue",2.19200063311174
8,"Feb","Wed",2.1910564604608
8,"Feb","Thu",2.21129523873889
8,"Feb","Fri",2.06127296143157
8,"Feb","Sat",1.74280785268829
8,"Mar","Sun",1.9412114316569
8,"Mar","Mon",2.2091120933738
8,"Mar","Tue",2.16722675884936
8,"Mar","Wed",2.19091420314078
8,"Mar","Thu",2.20683186527623
8,"Mar","Fri",2.15593823500758
8,"Mar","Sat",1.92239936569895
8,"Apr","Sun",1.87676710880431
8,"Apr","Mon",2.19194994040524
8,"Apr","Tue",2.21845423017515
8,"Apr","Wed",2.20210723639364
8,"Apr","Thu",2.22441262575185
8,"Apr","Fri",2.20855580792346
8,"Apr","Sat",1.82465326143938
